NomImage;Numero;nbPixBoucleHaut;nbPixBoucleBas;Compacity;distSTDskel;nbPixSkelQuartBasGauche;skelXcentreGrav;skelYcentreGrav;boucleXcentreGrav;boucleYcentreGrav;diffSkelBoucleXcentreGrav;diffSkelBoucleYcentreGrav;nbPixDiagInfSkel;nbPixDiagSupSkel
160,pgm;0;0;670;1,005319;12,886311;97;54,692857;49,978571;73,98209;28,883582;-19,289232;21,094989;127;146
161,pgm;1;3077;3561;0,9399;1,82066;71;51,367857;51,028571;51,771015;50,191624;-0,403158;0,836947;143;137
162,pgm;2;0;1239;1,136148;13,217105;67;65,10728;57,003831;86,369653;49,438257;-21,262373;7,565575;118;142
163,pgm;3;773;52;3,445661;13,145276;86;50,057348;42,179211;17,796364;34,037576;32,260984;8,141636;123;152
164,pgm;4;677;0;0,809786;9,678227;66;47,326389;52,972222;19,692762;62,549483;27,633627;-9,577261;155;132
165,pgm;5;2437;2666;1,729282;14,624882;88;52,696697;47,333333;51,6602;46,792083;1,036497;0,54125;157;174
166,pgm;6;2630;2355;1,324106;10,591725;68;52,388535;50,474522;49,271414;42,381745;3,117121;8,092777;142;170
167,pgm;7;0;8;0,487426;12,233377;64;62,565385;55,553846;51,875;94,125;10,690385;-38,571154;122;134
168,pgm;8;2329;0;1,272765;14,73157;0;32,929688;58,109375;22,929584;44,983255;10,000104;13,12612;200;54
169,pgm;9;0;1;0,07958;14,070553;119;57,136792;35,037736;94;36;-36,863208;-0,962264;47;163
170,pgm;0;0;961;0,983858;13,790466;118;58,125;49,487179;79,931322;27,363163;-21,806322;22,124016;120;185
171,pgm;1;3454;3451;0,871575;2,635908;68;50,430605;48,33452;50,201593;50,023027;0,229012;-1,688507;133;146
172,pgm;2;0;908;1,119113;11,58624;88;60,277567;51,558935;80,995595;34,69163;-20,718028;16,867305;126;136
173,pgm;3;0;37;1,344254;14,211249;76;46,769912;49,035398;68,540541;19,216216;-21,770629;29,819182;101;123
174,pgm;4;334;0;0,774116;7,473164;48;49,18107;58,296296;16,691617;73,143713;32,489453;-14,847416;123;119
175,pgm;5;1656;2733;2,15812;14,252981;74;50,705382;48,626062;56,252677;49,268398;-5,547295;-0,642336;172;177
176,pgm;6;2208;2521;1,254177;8,867769;76;58,566434;49,506993;53,367308;43,872912;5,199125;5,634081;113;169
177,pgm;7;0;8;0,487426;12,536841;51;58,995633;54,458515;61,125;67,875;-2,129367;-13,416485;100;129
178,pgm;8;1572;0;1,378219;13,244519;0;30,473469;52,82449;19,005089;42,307252;11,46838;10,517238;180;62
179,pgm;9;0;1;0,07958;13,197971;100;60,869767;36,860465;94;38;-33,130233;-1,139535;44;169
180,pgm;0;0;742;1,518773;11,64636;81;56,254072;52,986971;80,355795;41,207547;-24,101723;11,779424;165;141
181,pgm;1;2644;2707;1,259372;2,135426;74;50,177258;48,732441;49,822837;49,056999;0,354421;-0,324557;141;156
182,pgm;2;0;1294;1,188224;13,69823;22;50,415638;62,720165;74,594281;70,027048;-24,178643;-7,306883;161;79
183,pgm;3;0;1;0,07958;14,833401;65;56,322222;44,85;62;38;-5,677778;6,85;59;119
184,pgm;4;596;229;1,003574;12,127031;62;54,494505;50,234432;44,243636;58,077576;10,250869;-7,843144;124;146
185,pgm;5;2279;2270;1,80259;13,510462;76;50,619938;48,629283;50,739283;48,912948;-0,119346;-0,283664;153;165
186,pgm;6;1734;2382;1,967474;8,30415;70;54,304878;50,954268;56,112731;44,444121;-1,807853;6,510148;176;144
187,pgm;7;0;1;0,07958;11,477947;52;60,802575;55,759657;81;85;-20,197425;-29,240343;105;126
188,pgm;8;1870;0;1,062369;10,88019;0;36,184874;50,62605;27,365775;40,5;8,819099;10,12605;152;83
189,pgm;9;0;1061;1,190772;11,100499;85;57,082126;41,956522;68,464656;41,034873;-11,38253;0,921649;46;153
190,pgm;0;0;570;0,961799;10,035686;37;53,562753;55,441296;78,645614;51,47193;-25,082861;3,969366;118;126
191,pgm;1;2520;2684;1,090155;2,888716;71;50,791971;50,587591;51,630477;49,506533;-0,838506;1,081058;138;134
192,pgm;2;0;708;1,645661;10,520255;16;50,580508;64,326271;73,225989;65,963277;-22,64548;-1,637006;154;79
193,pgm;3;225;395;4,633599;12,642848;99;57,3625;45,2375;56,551613;34,704839;0,810887;10,532661;95;144
194,pgm;4;0;1;0,07958;8,159114;60;60,225641;50,794872;87;50;-26,774359;0,794872;66;128
195,pgm;5;1650;1241;2,477407;12,295305;70;46,131498;51,470948;47,098582;50,407471;-0,967083;1,063477;171;153
196,pgm;6;1058;2679;1,257455;6,152546;74;59,97318;49,605364;61,309071;44,218625;-1,335891;5,386739;132;128
197,pgm;7;0;1;0,07958;10,292116;64;60,017316;49,796537;88;65;-27,982684;-15,203463;80;148
198,pgm;8;1117;0;1,222622;10,935405;0;37,188776;56,056122;26,356312;48,42077;10,832464;7,635353;144;49
199,pgm;9;0;1;0,07958;9,632641;81;60,572327;36,106918;89;25;-28,427673;11,106918;33;124
200,pgm;0;0;379;1,028868;9,49781;35;51,555046;53,573394;76,664908;48,601583;-25,109862;4,971811;106;109
201,pgm;1;3355;3247;1,006753;3,549353;76;48,394464;49,885813;48,852923;49,495607;-0,45846;0,390206;148;139
202,pgm;2;0;601;1,025401;10,62432;91;61,254545;50,654545;86,146423;32,522463;-24,891877;18,132083;118;153
203,pgm;3;0;1;0,07958;15,815388;47;51,193237;44,714976;54;17;-2,806763;27,714976;76;129
204,pgm;4;187;0;1,334558;6,765021;71;55,34471;52,477816;40,427807;72,652406;14,916902;-20,174591;155;137
205,pgm;5;2490;2550;1,967532;14,296811;74;49,518414;50,053824;49,834722;50,132341;-0,316309;-0,078517;180;172
206,pgm;6;1588;3151;1,698128;10,476783;78;52,482353;50,385294;58,549061;46,84828;-6,066708;3,537014;192;147
207,pgm;7;0;1;0,07958;8,421365;75;54,9319;48,971326;85;66;-30,0681;-17,028674;134;144
208,pgm;8;2570;2;1,036178;9,587561;11;36,216667;51,504167;26,3507;49,413686;9,865967;2,090481;147;90
209,pgm;9;0;1;0,07958;12,439714;127;58,278027;35,152466;93;32;-34,721973;3,152466;57;164
210,pgm;0;0;1551;1,020069;13,686182;79;50,838816;47,963816;73,399742;62,918762;-22,560926;-14,954946;129;172
211,pgm;1;2791;3190;1,134475;2,496077;76;50,873288;48,753425;51,095636;48,553419;-0,222349;0,200005;144;146
212,pgm;2;271;1880;1,406798;13,702981;62;49,101974;59,940789;67,88145;63,188749;-18,779477;-3,24796;194;107
213,pgm;3;700;360;1,099177;14,424727;51;43,5;47,985507;46,978302;28,325472;-3,478302;19,660036;168;101
214,pgm;4;642;38;1,056188;12,247828;70;55,148515;50,851485;38,954412;63,748529;16,194103;-12,897044;150;148
215,pgm;5;1678;2731;1,906468;13,188009;78;53,473846;45,153846;55,339533;44,849626;-1,865687;0,30422;147;172
216,pgm;6;1403;3273;2,132726;12,841635;89;50,732804;50;58,052395;44,71065;-7,319591;5,28935;204;171
217,pgm;7;0;1;0,07958;8,582927;74;53,608997;49,342561;83;74;-29,391003;-24,657439;148;140
218,pgm;8;1890;0;1,488185;12,014592;0;33,311787;53,980989;21,397354;47,768783;11,914433;6,212206;189;72
219,pgm;9;170;1926;1,149503;13,287863;96;53,964413;37,245552;70,866412;32,938931;-16,901999;4,30662;69;210
220,pgm;0;70;2767;1,445424;13,307246;98;60,188925;45,416938;72,071907;53,483962;-11,882982;-8,067024;107;198
221,pgm;1;2108;2687;1,130565;2,863574;71;52,980843;49,114943;52,754536;48,68342;0,226307;0,431522;124;135
222,pgm;2;173;2271;1,090445;11,687503;82;50,607143;53,407143;67,548691;50,975041;-16,941548;2,432102;165;113
223,pgm;3;0;1;0,07958;12,349375;66;48,553922;50,735294;53;49;-4,446078;1,735294;95;108
224,pgm;4;1018;0;1,144527;10,893535;64;50,889632;58,003344;29,707269;73,058939;21,182363;-15,055595;168;130
225,pgm;5;2556;2079;1,903889;13,220013;63;47,438438;52,57958;46,86041;52,284574;0,578029;0,295006;175;156
226,pgm;6;1984;2498;1,218803;6,318954;67;54,892593;48,281481;53,890228;43,822178;1,002365;4,459304;116;152
227,pgm;7;0;1;0,07958;10,823082;63;57,040293;53,054945;77;83;-19,959707;-29,945055;141;132
228,pgm;8;2110;0;1,064484;11,201393;0;36,851351;53,504505;28,161611;44,457346;8,68974;9,047159;153;66
229,pgm;9;0;1;0,07958;11,00662;73;58,718062;44,066079;91;48;-32,281938;-3,933921;84;141
230,pgm;0;0;84;1,09517;12,707495;79;59,941634;53,552529;86,904762;23,845238;-26,963128;29,707291;141;109
231,pgm;1;2649;3485;1,129024;3,02098;76;52,898305;47,613559;54,065373;48,254157;-1,167068;-0,640598;139;155
232,pgm;2;0;1591;1,428585;12,522436;79;55,281879;57,09396;78,726587;52,526084;-23,444708;4,567876;164;132
233,pgm;3;0;1;0,07958;12,220209;73;50,034632;57,896104;57;50;-6,965368;7,896104;110;120
234,pgm;4;0;1;0,07958;8,840274;71;50,373802;55,511182;79;87;-28,626198;-31,488818;164;148
235,pgm;5;2391;2122;2,640946;14,307751;79;46,056266;47,478261;46,670729;46,027255;-0,614463;1,451006;169;207
236,pgm;6;2386;1403;2,245814;10,27552;106;49,002849;47,789174;45,552652;40,784376;3,450197;7,004798;164;185
237,pgm;7;0;1;0,07958;11,716519;91;58,431907;42,801556;89;48;-30,568093;-5,198444;74;182
238,pgm;8;2457;0;1,511142;12,491286;0;32,536398;55,609195;23,834758;49,7965;8,701641;5,812696;201;57
239,pgm;9;36;1254;1,141014;14,094389;117;55,848;34,96;71,603876;27,421705;-15,755876;7,538295;77;171
240,pgm;0;0;379;0,970916;10,313202;71;53,045627;54,665399;69,654354;31,693931;-16,608726;22,971468;139;120
241,pgm;1;2637;2870;0,976865;1,719537;68;50,607692;47,942308;51,10187;48,627747;-0,494178;-0,685439;125;133
242,pgm;2;0;714;1,658916;11,716818;40;54,596639;58,718487;78,481793;57,254902;-23,885154;1,463585;141;94
